"nct_id","brief_title","condition","intervention_type","intervention"
"NCT01281605","Comparison of Two Titration Programs of Adding Insulin Detemir to OADs in Poorly Controlled Type 2 Diabetes","Type 2 Diabetes","Behavioral","Active titration algorithm"
"NCT00460200","Depression and Interleukin-6 Production in Patients With Ovarian Epithelial Cancer","Depression","Genetic","polymorphism analysis"
"NCT00940667","Efficacy/Safety of Amlodipine Plus Losartan Versus Amlodipine in Patients With Essential Hypertension","Hypertension","Drug","Amlodipine plus Losartan"
"NCT04278586","Effect of Mindfulness on Opioid Use and Anxiety During Primary Care Buprenorphine Treatment (R33 Phase)","Depression","Behavioral","Live-Online Control"
"NCT04083222","A Study to Assess the Safety, Tolerability and Efficacy of IONIS-AGT-LRx","Hypertension","Drug","Placebo"
"NCT04112043","Nicotinamide Riboside as an Enhancer of Exercise Therapy in Hypertensive Older Adults (The NEET Trial)","Hypertension","Drug","Nicotinamide Riboside (NR)"
"NCT00425945","Understanding Pine Bark Extract as an Alternative Treatment (UPBEAT) Study","Hypertension","Drug","Pine Bark Extract (Flavangenol®)"
"NCT00380042","Assessment of the Safety and Effectiveness of Cortical Stimulation in Subjects With Major Depressive Disorder","Depression","Device","Cortical Stimulation"
"NCT03620227","Effects of Beetroot Juice in Postmenopausal and Hypertensive","Hypertension","Dietary Supplement","Beetroot juice"
"NCT01885390","Registry to Evaluate the ROX COUPLER in Patients With Resistant or Uncontrolled Hypertension","Hypertension","Device","ROX COUPLER"
"NCT02242851","Study Describing the Hypertensive Population Treated With Telmisartan and Conditions of Use by Medical Practitioners and Patients","Hypertension","Drug","Telmisartan"
"NCT03821623","Nicotinamide Riboside for Treating Elevated Systolic Blood Pressure and Arterial Stiffness in Middle-aged and Older Adults","Hypertension","Drug","Nicotinamide riboside"
"NCT05349877","Efficacy of a Brief Intervention to Improve Sexual and Gender Minorities' Mental Health: Randomized Controlled Trial.","Depression","Behavioral","Placebo"
"NCT04348825","Electroconvulsive Therapy and Neuroradiology","Depression","Device","Electroconvulsive therapy"
"NCT05009433","HIIT vs MICT During Pregnancy and Health and Birth Outcomes in Mothers and Children","Depression","Behavioral","High intensity interval training program for nonpregnant women"
"NCT03522987","Anxiety and Depression in Epilepsy: A Pilot Treatment Study","Depression","Drug","Escitalopram 10mg"
"NCT02439749","SPYRAL PIVOTAL - SPYRAL HTN-OFF MED Study","Hypertension","Device","Symplicity Spyral™ multi-electrode renal denervation system"
"NCT03629535","Accuracy of Non-invasive Non-oscillometric Blood Pressure Wristband","Hypertension","Device","Non-invasive non-oscillometric blood pressure wristband device"
"NCT00326768","Trial of Telmisartan 80 mg/HCTZ 12.5 mg and Telmisartan 40 mg/HCTZ 12.5 mg in Patients With Hypertension","Hypertension","Drug","Telmisartan 80 mg/HCTZ 12.5 mg"
"NCT04874415","Behavioral Economics for Activity Motivation in Adolescents (BEAM)","Type 2 Diabetes","Behavioral","1FGW"
"NCT04522713","A Transdiagnostic Course for Common Mental Health Problems in Primary Care","Depression","Behavioral","Behavioral activation, evidence-based sleep strategies including sleep restriction, exposure-based strategies, promotion of physical activity and recuperating activities, psychoeducational material"
"NCT04999553","Left vs. Right Non-Inferiority Trial","Depression","Device","Low Frequency Right (LFR)"
"NCT03668223","The Promoting Resilience in Stress Management (PRISM) Intervention: a Multi-site Randomized Controlled Trial for Adolescents and Young Adults With Advanced Cancer","Depression","Behavioral","Promoting Resilience in Stress Management (PRISM)"
"NCT00200499","A Study of the Safety and Efficacy of Long-Term Nebivolol Use in Hypertensive Patients","Hypertension","Drug","Nebivolol"
"NCT04302974","Cohort Study on Patient Outcomes, Effectiveness and Cost-effectiveness of Intervention Programmes for DM/HT Patients","Hypertension","Procedure","Multi-disciplinary Risk Factor Assessment and Management Programmes for diabetes (RAMP-DM)"
"NCT00334724","Home Blood Pressure-guided Antihypertensive Intervention for Elderly (HBP-GUIDE) Study","Hypertension","Procedure","Office blood pressure measurement"
"NCT00623298","Narrative Exposure Therapy Versus Group Interpersonal Psychotherapy","Depression","Behavioral","Narrative Exposure Therapy"
"NCT00666848","Effect of Sitagliptin and an ACE Inhibitor on Blood Pressure in Metabolic Syndrome","Hypertension","Drug","Enalapril 5mg"
"NCT01032018","Comparison of Depression Interventions After Acute Coronary Syndrome","Depression","Behavioral","Problem Solving Therapy"
"NCT02016183","Candesartan Cilexetil / Hydrochlorothiazide Combination Tablets Special Drug Use Surveillance: Long-term Use (12 Months)","Hypertension","Drug","Candesartan cilexetil / hydrochlorothiazide"
"NCT01726764","Interaction Between St John's Wort and Metformin?","Type 2 Diabetes","Drug","Metformin"
"NCT00186511","Expanding Rural Access: Distance Delivery of Support","Depression","Behavioral","supportive expressive group therapy using videoconferencing"
"NCT00937222","Effects of Peanut and Peanut Butter Consumption on Blood Lipids and Glycemic Control in Adults With Type 2 Diabetes","Type 2 Diabetes","Dietary Supplement","Peanuts and peanut butter"
"NCT00149227","Add-on Effects of Valsartan on Morbi- Mortality (KYOTO HEART Study)","Hypertension","Drug","Valsartan"
"NCT00133068","Collaboration to Reduce Disparities in Hypertension","Hypertension","Behavioral","Control"
"NCT00729963","Sibutramine Versus Continuous Positive Airway Pressure (CPAP)in Obstructive Sleep Apnea (OSA) Patients","Hypertension","Device","CPAP"
"NCT00994513","Effect of Alpha Lipoic Acid on Obesity Related Comorbidities","Type 2 Diabetes","Dietary Supplement","Placebo"
"NCT00516620","Fruits, Vegetables, and Whole Grains: A Community-based Intervention","Hypertension","Behavioral","No further instruction"
"NCT00987662","Irbesartan Versus Amlodipine: The OBI Study","Hypertension","Drug","Amlodipine"
"NCT02686177","Effect of GLP-1 on Angiogenesis","Type 2 Diabetes","Drug","Metformin or sulfonylurea"
"NCT03277586","Effects of Probiotics on Symptoms of Depression","Depression","Drug","Placebo"
"NCT02689765","Effect of Anthocyanins on Metabolic Profiles in Subjects With Pre-diabetes","Type 2 Diabetes","Dietary Supplement","Anthocyanins"
"NCT05223842","Family Promoting Positive Emotions Pilot Study","Depression","Behavioral","Written Information"
"NCT01918358","Safety and Pharmacokinetics Between Fixed-dose Combination VR 160/20 mg and Co-administration of Diovan® (Valsartan) Film-coated Tablet 160 mg and Crestor® (Rosuvastatin) 20 mg","Hypertension","Drug","Sequence 2 : Period 1 (VR 160/20 mg-2), Period 2 (V+R), Period 3 (VR 160/20 mg-1)"
"NCT00513214","Safety and Pharmacokinetics Study of XOMA 052 in Subjects With Type 2 Diabetes Mellitus","Type 2 Diabetes","Drug","XOMA 052"
"NCT00571545","The Effect of Exercise on Mood After Traumatic Brain Injury","Depression","Behavioral","Aerobic exercise"
"NCT04421651","Dance Movement Therapy in the Treatment of Depressed Patients: A Randomised Controlled Trial","Depression","Behavioral","Dance Movement Therapy group"
"NCT01447485","Pharmacokinetics Following Single-dose of Valsartan in Japanese Pediatric Patients","Hypertension","Drug","Valsartan (VAL489)"
"NCT02817672","Evaluating the Feasibility of Disseminating a Novel Mobile Platform to Treat Depression","Depression","Behavioral","PRIME 2.0"
"NCT00495833","SPHERE Hypertension Intervention Study","Hypertension","Behavioral","Promotional gift"
"NCT03578848","Guiding Hypertension Management Using Different Blood Pressure Monitoring Strategies","Hypertension","Device","CBP"
"NCT01482364","BEtter Control of Blood Pressure in Hypertensive pAtients Monitored Using the HOTMAN® sYstem","Hypertension","Device","Non Integrated Hemodynamic Management (Non-IHM) - HOTMAN System"
"NCT00774813","Nexalin Therapy for the Treatment of Depressive Symptoms","Depression","Drug","placebo device and Citalopram"
"NCT01157078","A Study to Assess the Efficacy and Safety of TC-5214 as an Adjunct Therapy in Patients With Major Depressive Disorder (MDD)","Depression","Drug","TC-5214"
"NCT02608632","HFS-guided Renal Ablation for Improving Outcome of Renal Denervation Procedure","Hypertension","Device","Renal denervation guided by HFS"
"NCT01349114","Effect of the Direct Renin Inhibitor Aliskiren on Endothelial Function and Arterial Stiffness in Diabetic Subjects","Hypertension","Drug","Placebo/sugar pill"
"NCT03785067","Triple Therapy Prevention of Recurrent Intracerebral Disease EveNts Trial (TRIDENT) Cognitive Sub-Study","Hypertension","Drug","telmisartan 20mg + amlodipine 2.5mg +indapamide 1.25mg"
"NCT02916602","A Study to Evaluate Efficacy and Safety of HCP1401 for Stage 2 Hypertension Patients Not Controlled by HCP0605","Hypertension","Drug","HCP1401"
"NCT02957799","Improving South African Government Workers' Capacities to Deliver HIV Interventions","Depression","Behavioral","Control Condition"
"NCT00093886","Clevidipine in the Perioperative Treatment of Hypertension (ECLIPSE-NTG)","Hypertension","Drug","nitroglycerin"
"NCT00018902","Treatment of SSRI-Resistant Depression In Adolescents (TORDIA)","Depression","Drug","Citalopram"
"NCT02853045","Comparison of Blood Pressure Control Achieved in Antihypertensive or Generic Drugs in Moderate to Severe Hypertensive Patients","Hypertension","Drug","period with drug (trade name) then period with generic"
"NCT00214682","Beyond Ageing Project: A Study for the Prevention of Depression","Depression","Behavioral","pain and arthritis management information"
"NCT00922649","Pilot Study Assessing Insulin Pump Therapy in Type 2 Diabetes","Type 2 Diabetes","Device","Insulin Pump therapy"
"NCT01351428","Goal-Directed Therapy in Pregnant Women at High Risk of Developing Preeclampsia","Hypertension","Drug","Nifedipine"
"NCT00853957","Efficacy and Safety of Aliskiren Administered in Combination With Amlodipine Versus Amlodipine Alone in African American Patients With Stage 2 Hypertension","Hypertension","Drug","Aliskiren/Amlodipine"
"NCT01516931","Efficacy of Repetitive Transcranial Magnetic Stimulation in the Prevention of Relapse of Depression","Depression","Behavioral","counseling"
"NCT00817011","Development of Pharmacogenomic Method to Predict Antidepressant Responsiveness","Depression","Drug","non-SSRI treated group"
"NCT03875768","Nourish: A Digital Health Program to Promote the DASH Eating Plan Among Adults With High Blood Pressure","Hypertension","Behavioral","Tracking plus coaching"
"NCT04611620","Biobehavioral Correlates of Cancer-related Cognitive Dysfunction and Its Co-occurring Symptoms","Depression","Behavioral","Cognitive Dysfunction"
"NCT03736954","ICU Doulas Providing Psychological Support","Depression","Behavioral","positive suggestion"
"NCT02346591","Mobile-Web Emotion Self-management Tool","Depression","Behavioral","Jauntly"
"NCT02187497","Pharmacokinetics of BIBR 277 in Hypertensive Patients","Hypertension","Drug","Medium dose of BIBR 277"
"NCT02604277","Suicidal Behavior in Patients Diagnosed With Bipolar Disorder","Depression","Behavioral","Interpersonal and Social Rhythm Therapy (ISRT)"
"NCT04154579","Arts & Health Education to Improve Health, Resilience, and Well-Being","Hypertension","Behavioral","HeRe We Ed"
"NCT01659294","Diabetes Outcomes and Nurse Case Manager Study","Type 2 Diabetes","Behavioral","Nurse Case Management"
"NCT02089438","DPP-4 Inhibition, Incretins and Islet Function","Type 2 Diabetes","Drug","Vildagliptin"
"NCT00402103","An Assessment of Long Term Safety of the Combination of Aliskiren / Amlodipine in Patients With High Blood Pressure","Hypertension","Drug","Hydrochlorothiazide"
"NCT01813708","Intensive Life-Style Intervention in Type 2 Diabetes Patients","Type 2 Diabetes","Behavioral","Intensive Life-Style"
"NCT05279807","Effectiveness and Safety of Combination of Amlodipine and Zofenopril in Hypertensive Patients Versus Each Monotherapy","Hypertension","Drug","Amlodipine"
"NCT00231959","Effectiveness of Pramipexole for Treatment-Resistant Depression","Depression","Drug","Pramipexole (Mirapex)"
"NCT02292290","Trial for People With Established Type 2 Diabetes During Ramadan","Type 2 Diabetes","Drug","Sulfonylurea or Pioglitazone"
"NCT01579981","The Importance of GLP-1 in Post RYGB Improvement in Glycaemic Control Type 2 Diabetic Subjects","Type 2 Diabetes","Procedure","Roux-en-Y Gastric Bypass"
