"nct_id","condition","intervention_type","intervention","overall_status","country","brief_title","study_description","date"
"NCT00006721","Lymphoma","Biological","rituximab","Active, not recruiting","United States","S0016 Combination Chemotherapy With Monoclonal Antibody Therapy in Newly Diagnosed Non-Hodgkin's Lymphoma","RATIONALE: Drugs used in chemotherapy work in different ways to stop cancer cells from dividing so they stop growing or die. Monoclonal antibodies can locate tumor cells and either kill them or deliver radioactive tumor-killing substances to them without harming normal cells. It is not yet known which monoclonal antibody plus combination chemotherapy regimen is more effective in treating non-Hodgkin's lymphoma.

PURPOSE: This randomized phase III trial is comparing 2 different monoclonal antibodies given together with combination chemotherapy to see how well they work in treating patients with newly-diagnosed non-Hodgkin's lymphoma.","2023-06-30"
"NCT00006721","Lymphoma","Drug","cyclophosphamide","Active, not recruiting","United States","S0016 Combination Chemotherapy With Monoclonal Antibody Therapy in Newly Diagnosed Non-Hodgkin's Lymphoma","RATIONALE: Drugs used in chemotherapy work in different ways to stop cancer cells from dividing so they stop growing or die. Monoclonal antibodies can locate tumor cells and either kill them or deliver radioactive tumor-killing substances to them without harming normal cells. It is not yet known which monoclonal antibody plus combination chemotherapy regimen is more effective in treating non-Hodgkin's lymphoma.

PURPOSE: This randomized phase III trial is comparing 2 different monoclonal antibodies given together with combination chemotherapy to see how well they work in treating patients with newly-diagnosed non-Hodgkin's lymphoma.","2023-06-30"
"NCT00006721","Lymphoma","Drug","doxorubicin","Active, not recruiting","United States","S0016 Combination Chemotherapy With Monoclonal Antibody Therapy in Newly Diagnosed Non-Hodgkin's Lymphoma","RATIONALE: Drugs used in chemotherapy work in different ways to stop cancer cells from dividing so they stop growing or die. Monoclonal antibodies can locate tumor cells and either kill them or deliver radioactive tumor-killing substances to them without harming normal cells. It is not yet known which monoclonal antibody plus combination chemotherapy regimen is more effective in treating non-Hodgkin's lymphoma.

PURPOSE: This randomized phase III trial is comparing 2 different monoclonal antibodies given together with combination chemotherapy to see how well they work in treating patients with newly-diagnosed non-Hodgkin's lymphoma.","2023-06-30"
"NCT00006721","Lymphoma","Drug","prednisone","Active, not recruiting","United States","S0016 Combination Chemotherapy With Monoclonal Antibody Therapy in Newly Diagnosed Non-Hodgkin's Lymphoma","RATIONALE: Drugs used in chemotherapy work in different ways to stop cancer cells from dividing so they stop growing or die. Monoclonal antibodies can locate tumor cells and either kill them or deliver radioactive tumor-killing substances to them without harming normal cells. It is not yet known which monoclonal antibody plus combination chemotherapy regimen is more effective in treating non-Hodgkin's lymphoma.

PURPOSE: This randomized phase III trial is comparing 2 different monoclonal antibodies given together with combination chemotherapy to see how well they work in treating patients with newly-diagnosed non-Hodgkin's lymphoma.","2023-06-30"
"NCT00006721","Lymphoma","Drug","vincristine","Active, not recruiting","United States","S0016 Combination Chemotherapy With Monoclonal Antibody Therapy in Newly Diagnosed Non-Hodgkin's Lymphoma","RATIONALE: Drugs used in chemotherapy work in different ways to stop cancer cells from dividing so they stop growing or die. Monoclonal antibodies can locate tumor cells and either kill them or deliver radioactive tumor-killing substances to them without harming normal cells. It is not yet known which monoclonal antibody plus combination chemotherapy regimen is more effective in treating non-Hodgkin's lymphoma.

PURPOSE: This randomized phase III trial is comparing 2 different monoclonal antibodies given together with combination chemotherapy to see how well they work in treating patients with newly-diagnosed non-Hodgkin's lymphoma.","2023-06-30"
"NCT00006721","Lymphoma","Radiation","tositumomab","Active, not recruiting","United States","S0016 Combination Chemotherapy With Monoclonal Antibody Therapy in Newly Diagnosed Non-Hodgkin's Lymphoma","RATIONALE: Drugs used in chemotherapy work in different ways to stop cancer cells from dividing so they stop growing or die. Monoclonal antibodies can locate tumor cells and either kill them or deliver radioactive tumor-killing substances to them without harming normal cells. It is not yet known which monoclonal antibody plus combination chemotherapy regimen is more effective in treating non-Hodgkin's lymphoma.

PURPOSE: This randomized phase III trial is comparing 2 different monoclonal antibodies given together with combination chemotherapy to see how well they work in treating patients with newly-diagnosed non-Hodgkin's lymphoma.","2023-06-30"
"NCT00066703","Breast Cancer","Drug","exemestane","Active, not recruiting","United States","Triptorelin With Either Exemestane or Tamoxifen in Treating Premenopausal Women With Hormone-Responsive Breast Cancer","RATIONALE: Estrogen can stimulate the growth of breast cancer cells. Hormone therapy using triptorelin, exemestane, and tamoxifen may fight breast cancer by blocking the use of estrogen. It is not yet known whether giving triptorelin together with exemestane is more effective than triptorelin and tamoxifen in treating hormone-responsive breast cancer.

PURPOSE: This randomized phase III trial is studying triptorelin and exemestane to see how well they work compared to triptorelin and tamoxifen in treating premenopausal women with hormone-responsive breast cancer.","2025-12-31"
"NCT00066703","Breast Cancer","Drug","tamoxifen","Active, not recruiting","United States","Triptorelin With Either Exemestane or Tamoxifen in Treating Premenopausal Women With Hormone-Responsive Breast Cancer","RATIONALE: Estrogen can stimulate the growth of breast cancer cells. Hormone therapy using triptorelin, exemestane, and tamoxifen may fight breast cancer by blocking the use of estrogen. It is not yet known whether giving triptorelin together with exemestane is more effective than triptorelin and tamoxifen in treating hormone-responsive breast cancer.

PURPOSE: This randomized phase III trial is studying triptorelin and exemestane to see how well they work compared to triptorelin and tamoxifen in treating premenopausal women with hormone-responsive breast cancer.","2025-12-31"
"NCT00066703","Breast Cancer","Drug","triptorelin","Active, not recruiting","United States","Triptorelin With Either Exemestane or Tamoxifen in Treating Premenopausal Women With Hormone-Responsive Breast Cancer","RATIONALE: Estrogen can stimulate the growth of breast cancer cells. Hormone therapy using triptorelin, exemestane, and tamoxifen may fight breast cancer by blocking the use of estrogen. It is not yet known whether giving triptorelin together with exemestane is more effective than triptorelin and tamoxifen in treating hormone-responsive breast cancer.

PURPOSE: This randomized phase III trial is studying triptorelin and exemestane to see how well they work compared to triptorelin and tamoxifen in treating premenopausal women with hormone-responsive breast cancer.","2025-12-31"
"NCT00076310","Head and Neck Cancer","Drug","Cisplatin","Active, not recruiting","United States","OSI-774/Cisplatin/Taxotere in Head & Neck Squamous Cell Cancer","The goal of this clinical research study is to learn if giving the new drug, Tarceva® (OSI-774), in combination with Platinol® (cisplatin) and Taxotere® (docetaxel) is effective in the treatment of metastatic or recurrent head and neck cancer. The safety of this treatment will also be studied.","2023-09-30"
"NCT00076310","Head and Neck Cancer","Drug","Docetaxel","Active, not recruiting","United States","OSI-774/Cisplatin/Taxotere in Head & Neck Squamous Cell Cancer","The goal of this clinical research study is to learn if giving the new drug, Tarceva® (OSI-774), in combination with Platinol® (cisplatin) and Taxotere® (docetaxel) is effective in the treatment of metastatic or recurrent head and neck cancer. The safety of this treatment will also be studied.","2023-09-30"
"NCT00076310","Head and Neck Cancer","Drug","OSI-774","Active, not recruiting","United States","OSI-774/Cisplatin/Taxotere in Head & Neck Squamous Cell Cancer","The goal of this clinical research study is to learn if giving the new drug, Tarceva® (OSI-774), in combination with Platinol® (cisplatin) and Taxotere® (docetaxel) is effective in the treatment of metastatic or recurrent head and neck cancer. The safety of this treatment will also be studied.","2023-09-30"
"NCT00082706","Bladder Cancer","Drug","5-Fluorouracil (5-FU)","Active, not recruiting","United States","Fluorouracil, Leucovorin, Gemcitabine, and Cisplatin in Treating Patients With Metastatic or Unresectable Adenocarcinoma of the Urothelium or Urachal Remnant","RATIONALE: Drugs used in chemotherapy, such as fluorouracil, leucovorin, gemcitabine, and cisplatin, work in different ways to stop tumor cells from dividing so they stop growing or die. Combining more than one drug may kill more tumor cells.

PURPOSE: This phase II trial is studying how well giving fluorouracil together with leucovorin, gemcitabine, and cisplatin works in treating patients with metastatic or unresectable adenocarcinoma of the urothelium or urachal remnant (part of the bladder).","2022-12-15"
"NCT00082706","Bladder Cancer","Drug","Cisplatin","Active, not recruiting","United States","Fluorouracil, Leucovorin, Gemcitabine, and Cisplatin in Treating Patients With Metastatic or Unresectable Adenocarcinoma of the Urothelium or Urachal Remnant","RATIONALE: Drugs used in chemotherapy, such as fluorouracil, leucovorin, gemcitabine, and cisplatin, work in different ways to stop tumor cells from dividing so they stop growing or die. Combining more than one drug may kill more tumor cells.

PURPOSE: This phase II trial is studying how well giving fluorouracil together with leucovorin, gemcitabine, and cisplatin works in treating patients with metastatic or unresectable adenocarcinoma of the urothelium or urachal remnant (part of the bladder).","2022-12-15"
"NCT00082706","Bladder Cancer","Drug","Gemcitabine","Active, not recruiting","United States","Fluorouracil, Leucovorin, Gemcitabine, and Cisplatin in Treating Patients With Metastatic or Unresectable Adenocarcinoma of the Urothelium or Urachal Remnant","RATIONALE: Drugs used in chemotherapy, such as fluorouracil, leucovorin, gemcitabine, and cisplatin, work in different ways to stop tumor cells from dividing so they stop growing or die. Combining more than one drug may kill more tumor cells.

PURPOSE: This phase II trial is studying how well giving fluorouracil together with leucovorin, gemcitabine, and cisplatin works in treating patients with metastatic or unresectable adenocarcinoma of the urothelium or urachal remnant (part of the bladder).","2022-12-15"
"NCT00082706","Bladder Cancer","Drug","Leucovorin","Active, not recruiting","United States","Fluorouracil, Leucovorin, Gemcitabine, and Cisplatin in Treating Patients With Metastatic or Unresectable Adenocarcinoma of the Urothelium or Urachal Remnant","RATIONALE: Drugs used in chemotherapy, such as fluorouracil, leucovorin, gemcitabine, and cisplatin, work in different ways to stop tumor cells from dividing so they stop growing or die. Combining more than one drug may kill more tumor cells.

PURPOSE: This phase II trial is studying how well giving fluorouracil together with leucovorin, gemcitabine, and cisplatin works in treating patients with metastatic or unresectable adenocarcinoma of the urothelium or urachal remnant (part of the bladder).","2022-12-15"
"NCT00086762","Breast Cancer","Behavioral","MR Therapy","Completed","United States","Mindfulness Relaxation Compared With Relaxing Music and Standard Symptom Management Education in Treating Patients Who Are Undergoing Chemotherapy For Newly Diagnosed Solid Tumors","RATIONALE: Mindfulness relaxation, a technique to help patients quiet their thoughts and relax their bodies before and during chemotherapy, may reduce or prevent nausea and vomiting. It may also help improve mental health, quality of life, and immune function in patients receiving chemotherapy.

PURPOSE: This randomized clinical trial is studying mindfulness relaxation to see how well it works compared to relaxing music or standard symptom management education in treating patients who are receiving chemotherapy for newly diagnosed solid tumors.","2022-08-11"
