nct_id,description
NCT00281034,"To survey the health-related quality of life using the SF-36v2 score of patients with chronic brain infarction in Japan
Chronic brain infarction in Japan is better than EU/USA"
NCT00300196,The primary purpose of this study is to determine whether a brief intravenous infusion of ancrod started within 6 hours of stroke onset improves functional outcome at 3 months.
NCT00325611,"Palliative care is believed to improve care of patients with life-limiting illnesses. This study evaluated the impact of a multi-center randomized trial of a palliative care team intervention on the quality and cost of care of hospitalized patients. Study subjects were randomized to intervention or usual care. At study end, patients receiving the palliative care intervention reported greater patient satisfaction with their care. Intervention patients also had significantly fewer ICU admissions and lower total costs for care 6 months past their hospitalization. Intervention patients completed more advance directives and had longer hospice stays."
NCT00325637,The purpose of this study is to compare the effect of cilnidipine (a calcium channel blocker) and losartan (an angiotensin II receptor blocker) on cerebral blood flow (CBF) and blood pressure in hypertensive patients with a previous ischemic stroke.
NCT00331721,"The main objective of this study is to investigate the tolerability of enecadin in patients with acute ischemic stroke. Furthermore, the pharmacokinetics of enecadin in both male and female patients with acute ischemic stroke will be assessed. Efficacy trends will be evaluated up to day 30 post stroke."
NCT00334230,"This study, conducted in collaboration with the National Rehabilitation Hospital (NRH) in Washington, D.C., will look at changes in brain activation and brain responses that occur with gait (walking) training. Brain images and responses of healthy subjects are compared with those of patients.

Healthy normal volunteers and people who have had a stroke within 3 months of starting the study may be eligible for this study. Candidates must be between 18 and 80 years of age, and patients must participate in NRH's walking study.

Stroke patients participate in all three study sessions described below. The first session takes place before patients start the NRH walking training study, the second session takes place at completion of the NRH walking study, and the third session takes place 3 months after completing the NRH study. Healthy control subjects complete only the procedures in session 3.

Session 1

Day 1: Neurological examination and questionnaire to evaluate memory and attention.

Day 2: Motor testing with transcranial magnetic stimulation (TMS). For this test, a wire coil is held on the subject's scalp. A brief electrical current passes through the coil, creating a magnetic pulse that stimulates the brain. During the stimulation, the subject may be asked to tense certain muscles slightly or perform other simple actions to help position the coil properly. The stimulation may cause a twitch in the leg muscles, and the subject may hear a click and feel a pulling sensation on the skin under the coil.

Session 2

Day 1: Functional MRI (fMRI). MRI uses a magnetic field and radio waves to produce images of body tissues and organs. The subject lies on a table that can slide in and out of the scanner (a narrow cylinder), wearing earplugs to muffle loud knocking and thumping sounds that occur during the scanning process. Scanning time varies from 20 minutes to 3 hours, with most scans lasting 45 and 90 minutes. Subjects may be asked to lie still for up to a few minutes at a time and to perform movements of their foot.

Day 2: motor testing with TMS.

Session 3

Day 1: fMRI

Day 2: motor testing with TMS"
NCT00349479,"The purpose of this study is to evaluate a standardized, system-based, barrier assessment and interactive educational intervention to increase appropriate t-PA use for stroke."
NCT00419705,The purpose of this pivotal study is to demonstrate safety and effectiveness of the NeuroThera® Laser System (referred to hereafter as NTS) in the treatment of Subjects diagnosed with acute ischemic stroke. The initiation of NTS treatment must be feasible for each Subject within 24 hours of stroke onset.
NCT00523523,The purpose of this study is to determine whether or not having people with stroke practice performing tasks to auditory rhythm cues with their weaker arm and hand is any better at promoting improved motor control than practicing the tasks in a typical way without the rhythm cues
NCT00530647,The purposes of this study are to investigate the functional connectivity of motor network in patients of stroke and investigate the mechanism of brain plasticity for recovery after stroke.
NCT00548223,"In order to observe the secondary preventive effect of the Dengzhanshengmai capsule on ischemic stroke, the investigators hold the large randomized control trial (RCT). 3143 subjects are included in 83 clinical research centers all over China. The subjects are randomly grouped into two groups. The basic therapy included antiplatelet aggregation, stroke health education, management of blood pressure, blood lipid and blood glucose, etc. The treating group will take the compound Chinese Medicine Deng Zhan Sheng Mai capsule and the contrast group will take the placebo for twelve months. Then all of the subjects are visited on the 30th, 90th, 180th, 360th day after inclusion. The recurrence of stroke, cardiovascular events, and peripheral arterial events are observed."
NCT00552916,"The purpose of this study is to determine if a form of exercise,known as electrical stimulation can improve walking function and other important health outcomes. The hypothesis is that electrical stimulation can enhance the ability to walk for stroke survivors who are unable to walk on their on their own."
NCT00561405,"Stroke is a major cause of disability in Canadian adults. Following a stroke, many people have difficulty walking in their home and in the community. The purpose of this study is to compare the effect of two different approaches to walking retraining in people who have had a stroke.

Individuals living in the community who have had recently had a stroke will be asked to participate in this study. Participants will be randomly assigned to one of two five week walking training programs. In one program, individuals will re-learn to walk in a variety of real-life situations. Practice sessions will encourage active problem solving by the participants. The other program will have participants practice walking on a treadmill while some of their body weight is supported by a special harness system. Participants will also be assisted by a physiotherapist to walk in a more normal manner.

Participants' will be assessed at the beginning of the study, after the 5 week training program and again, eight weeks later. The research assistant will assess their ability to walk, their confidence level and the average daily walking activity.

Primary Hypothesis: Individuals assigned to the Motor Learning Walking Program will improve their walking ability from baseline to follow up assessment significantly more than individuals assigned to the Treadmill Training Program.

The results of this study will help physiotherapists plan effective treatment programs for individuals with walking difficulties following stroke. It will also give researchers direction for future studies in the areas of walking retraining and motor skill development post-stroke."
NCT00604630,"The purpose of this randomized, double-blind, placebo-controlled multicenter study is to determine in a cohort of 506 patients with acute ischemic stroke in the middle cerebral artery territory, the effect of a three-day high-dose, intravenous erythropoietin treatment on functional outcome up to a follow-up of 90 days."
NCT05334576,"In this prospective, single-arm, open-label, imaging and treatment study, the investigator will test the hypothesis that crizanlizumab will prevent the progression of silent cerebral infarcts in patients with sickle cell disease. Study participants will undergo brain MRI before initiation of crizanlizumab and at 6 and 30 months after starting crizanlizumab infusions. The crizanlizumab cohort will be compared to a matched, observational cohort of patients not receiving crizanlizumab."
NCT04839887,"Despite a generally favourable 3-month functional outcome and a very low mortality, young ischemic stroke (IS) patients face to reduced quality of life associated with a complexity of problems or ""invisible dysfunctions"" after IS. Better identification and understanding to these factors may improve stroke rehabilitation and stroke self-management programmes, wich will lead to better stroke recovery. The aim of the study is to assess the predictors of the health-related quality of life in young patients under 50 years after ischemic stroke, and to to evaluate specific changes in different dimensions of health-related quality of life during the first year of post-stroke recovery using a standardized battery of neuropsychological tools and stroke specific health-related quality of life measures. In the first phase of the study, 300 IS patients will be enrolled for the validation of the Czech version of the the Stroke Impact Scale 3.0. In the second phase of study, 200 enrolled IS patients (100 young IS patients < 50 years and 100 IS patients of 50-65 years) will undergo a serial of structured and standardized questionnaires during scheduled outpatients' controls three, six and 12 months after IS. In the third phase of study, twenty young IS patients < 50 years will undergo an in-depth, semi-structured interview with explanatory questions that will allow a detailed understanding of the patient's experience. Interpretative phenomenological analysis (IPA) study design will be used."
NCT04663399,"IMPRESS study aims to describe the immuno-inflammatory and thrombo-inflammatory profiles during the first 24/36 hours of treatment of patients suffering from AIC treated with TM, and to study the possible impact of these profiles on the functional prognosis at 3 months of AIC treatment."
NCT02920333,"This study is to compare the efficacy of two types of non-invasive brain stimulation (NIBS) in lower limb motor function recovery in stroke patients. The intervention will be tDCS (transcraniel direct current stimulation) or rTMS (repetitive transcraniel magnetic stimulation) plus conventional gait training for 10 days over 2 weeks.

The study hypothesizes that:

When combined with conventional gait training, NIBS could improve the walking ability of stroke survivors.
NIBS will modulate cortex activity of the brain area representing the lower limbs.
The effects of NIBS might be related to some genetic factors. 45 subjects will be randomly divided into 3 groups, receiving tDCS plus conventional gait training, or rTMS plus conventional gait training, or sham tDCS plus conventional gait training.

The outcome measures include clinical functional assessment, brain activity assessed by TMS measurement and MRI, genetic factor measurement. All these will be done at pre, immediate after intervention and 4 weeks after intervention."
NCT00623350,"Noninvasive prospective multi-center study of an interactive 2-way, wireless or site-independent, audiovisual telemedicine system designed for real-time remote examination of acute stroke symptoms and deficits as a basis for treatment consultation and recommendation.

Study aims (1) to determine the impact of a site-independent, remote, telemedicine consultation system on decision making in the Emergency Department, regarding the decision to treat or not to treat with thrombolytics; (2) to assess the numbers of patients who receive thrombolytics and the time to treatment in patients evaluated by telemedicine versus telephone only; (3) to assess the appropriateness of thrombolytic treatment decisions in telemedicine versus telephone-only consultations; and (4) to assess the completeness of the data collection in telemedicine versus telephone-only consultations.

60 patients in Arizona with acute presentation of stroke symptoms, per bedside practitioner discretion (onset generally less than 12 hours and likely less than 3 hours)

Two arms: Video Camera/Telemedicine (Intervention n = 30) and No Video Camera/Telephone only (Control n = 30)"
NCT00646217,"Most stroke survivors return home, where their care is supported by family and friends. Although family caring at home is usually rewarding, it is often challenging, too. The demands and responsibilities of caring for a loved one at home can be stressful. The actual activities of caregiving vary according to the needs of the stroke survivor, but can include helping with bathing, dressing, eating, and many other activities. Caregivers must learn care techniques and how to manage changes in roles and lifestyle. While adjusting to these changes, caregivers may be advised to 'take care' of themselves, but may not receive guidance or support for doing this. In this study, we are testing a self-care intervention for older, spouse caregivers of persons with stroke to see how helpful the intervention is in reducing distress and in helping caregivers adopt and maintain healthy lifestyle behaviors.

We have developed an intervention for caregivers that is called Self-Care TALK. The intervention includes creating a health-promoting, self-care education and support partnership between caregivers and nurses through the use of weekly telephone conversations. Each conversation focuses on a health-related topic, such as: healthy habits, building self-esteem, focusing on the positive, avoiding role overload, communicating, and building meaning. The conversations follow a basic format, but also are unique to each person. Participants complete questionnaires before and after the intervention, so that we can test the effect of participation in Self-Care TALK on caregiver health.

We know that education and support about self-care can be achieved through partnerships between family caregivers and health care professionals. Our goal is to build on this knowledge in testing whether participation in the Self-Care TALK intervention will result in less distress and better health and well-being for spouse caregivers, compared to caregivers who receive no additional care beyond usual education and support. In working toward this goal, we are using a partnership approach, in which nurses and caregivers discuss several health-related topics and mutually identify creative solutions for caregivers to incorporate self-care and health-promotion strategies into their daily routines. Promoting healthy outcomes for caregivers is essential to supporting their personal well-being, and to fostering their ability to continue home care for their loved one."
NCT03672864,"A prospective, single blind, parallel group, randomized control trial to determine if early, intensive lower extremity activity delivered by a physical therapist and a parent in partnership improves gross motor function more than usual care."
NCT00771771,"The main purpose of this study is to evaluate the benefit of early supported discharge (ESD) in rehabilitation of stroke patients in two different outpatient modalities.

In a collaborating study, changes in physical function as well as the patients' own perception of physical function, pain and fatigue will be studied. In further collaborating studies, health economics and organizational issues will also be evaluated."
NCT00783913,"This study will determine if electrical brain stimulation during movement practice can improve the ability of stroke patients to reach for objects more than movement practice alone.

People between 18 and 85 years old who have had a stroke may be eligible for this study. Participants are randomly assigned to one of two study groups: movement training with active (tDCS) or movement training with sham (tDCS).

Participants will undergo 1-hour movement training and (tDCS) sessions twice a day, 5 days a week, for 3 weeks. For these sessions, subjects will sit in front of a computer screen that shows a target (round dots) and a cursor (a line). Participants will be instructed to move the cursor to various targets on the computer screen as fast and as accurately as possible, controlling the position of the cursor by moving their arm, which will rest on a mechanical device.

Participants will receive real or sham (tDCS) during the movement training sessions. For (tDCS), electrode sponges soaked in tap water are placed on the scalp and forehead. A small electrical current is passed between the electrodes. The stimulation lasts 20 minutes.

Patients will have the following tests four times during the study - 1) before starting movement training 2) (tDCS) during the course of training and (tDCS), 3) after completing training and (tDCS), 4) and 3 months after completing training and (tDCS):

Functional magnetic resonance imaging (fMRI)

Magnetic resonance imaging (MRI) uses a magnetic field and radio waves to take pictures of the brain. Functional MRI (fMRI) shows what parts of the brain are used when a task is performed. For the test, the subject lies on a table that can slide in and out of the scanner. A computer screen can be seen from inside the scanner. During the scan, subjects may be asked to do the study task or to lie still for up to 20 minutes at a time.

Movement and function tests

Measurement of arm stiffness
Moving the arms actively and against resistance
Picking up objects and moving them as quickly as possible
Performing daily living tasks like buttoning, dressing and walking
Performing tasks while wearing a glove that monitors the position of the arm
Completing questionnaires on ability to perform daily activities or other movements and level of tiredness

Transcranial magnetic stimulation (TMS)

TMS uses a magnet to stimulate the brain in way that is different from (tDCS). This study us..."
